aqueloutros,aqueles outros
aqueloutras,aquelas outras
aqueloutro,aquele outro
aqueloutra,aquela outra
daqueles,de aqueles
daquelas,de aquelas
naqueles,em aqueles
naquelas,em aquelas
dalgumas,de algumas
nalgumas,em algumas
àqueles,a aqueles
àquelas,a aquelas
connosco,com nós
convosco,com vós
daquele,de aquele
daquela,de aquela
daquilo,de aquilo
doutrem,de outrem
dacolá,de acolá
daquém,de aquém
doutros,de outros
doutras,de outras
naquilo,em aquilo
naquele,em aquele
naquela,em aquela
noutrem,em outrem
noutros,em outros
noutras,em outras
dalguns,de alguns
dalguma,de alguma
nalguns,em alguns
nalguma,em alguma
àquele,a aquele
àquela,a aquela
desses,de esses
destes,de estes
dentre,de entre
destes,de estes
dessas,de essas
destas,de estas
dalém,de além
doutro,de outro
doutra,de outra
nestes,em estes
nestas,em estas
nesses,em esses
nessas,em essas
noutro,em outro
noutra,em outra
dalgum,de algum
nalgum,em algum
consigo,com si
comigo,com mim
contigo,com ti
desse,de esse
deste,de este
dumas,de umas
deles,de eles
delas,de elas
disso,de isso
dessa,de essa
disto,de isto
desta,de esta
daqui,de aqui
donde,de onde
numas,em umas
nisto,em isto
neste,em este
nesta,em esta
nisso,em isso
nesse,em esse
nessa,em essa
neles,em eles
nelas,em elas
pròs,para os
pràs,para as
pelas,por as
aonde,a onde
pelos,por os
duns,de uns
duma,de uma
dele,de ele
dela,de ela
daí,de aí
dali,de ali
nuns,em uns
numa,em uma
nele,em ele
nela,em ela
prò,para o
prà,para a
lhos,lhe os
pela,por a
pelo,por o
lhas,lhe as
nos,em os
nas,em as
dos,de os
das,de as
dum,de um
num,em um
mos,me os
tos,te os
tas,te as
lho,lhe o
lha,lhe a
pra,para
aos,a os
às,a as
pl',por
no,em o
na,em a
do,de o
da,de a
mo,me o
ma,me a
to,te o
ta,te a
ao,a o
às,a as
à,a a
d',de
n',em
