fazê-la-ei,farei a
fazê-lo-ei,farei o
fá-lo-ei,farei o
fá-lo-ás,farás o
fá-lo-á,fará o
fá-lo-emos,faremos o
fá-lo-eis,fareis o
fá-lo-ão,farão o
fá-lo-ia,faria o
fá-lo-ias,farias o
fá-lo-ia,faria o
fá-lo-íamos,faríamos o
fá-lo-íeis,faríeis o
fá-lo-iam,fariam o
far-me-ei,farei me
far-te-ás,farás te
far-se-á,fará se
far-nos-emos,faremos nos
far-vos-eis,fareis vos
far-se-ão,farão se
far-me-ia,faria me
far-te-ias,farías te
far-se-ia,faría se
far-nos-íamos,faríamos nos
far-vos-íeis,faríeis vos
far-se-iam,fariam se
dar-la-ei,darei a
dar-lo-ei,darei o
dá-lo-ei,darei o
dá-lo-ás,darás o
dá-lo-á,dará o
dá-lo-emos,daremos o
dá-lo-eis,dareis o
dá-lo-ão,darão o
dá-lo-ia,daria o
dá-lo-ias,darías o
dá-lo-ia,daria o
dá-lo-íamos,dariamos o
dá-lo-íeis,daríeis o
dá-lo-iam,dariam o
dá-los-ia,daria os
dá-los-ias,darías os
dá-los-ia,daria os
dá-los-íamos,dariamos os
dá-los-íeis,daríeis os
dá-los-iam,dariam os
vê-lo-ei,verei o
vê-lo-ás,verás o
vê-lo-á,verá o
vê-lo-emos,veremos o
vê-lo-eis,vereis o
vê-lo-ão,verão o
fazê-la,fazer a
fazê-lo,fazer o
dá-la,dar a
dá-lo,dar o
vê-lo,ver o
vê-la,ver o
